label,arm,fh,rows,dispatched_bytes,used_bytes,byte_follow_through,replay_mismatches,mean_abs_gap_blocks,max_abs_gap_blocks,frac_large_gap,mean_read_kib,frac_monotonic,frac_straddle,obj_size,cold_first_run_reads,cold_reentry_reads,cold_net_waste_bytes,cold_gross_waste_bytes
met,a,197,1,0,0,NaN,0,0.323242,0.323242,0.000000,128.000,0.000000,0.000000,708758316,1,0,917504,917504
met,a,219,2,0,0,NaN,0,0.213867,0.338867,0.000000,128.000,1.000000,0.000000,708758316,2,0,1835008,1835008
met,a,203,1,0,0,NaN,0,0.370117,0.370117,0.000000,88.000,0.000000,1.000000,708758316,1,0,1007616,958464
met,a,211,1,0,0,NaN,0,0.490234,0.490234,0.000000,128.000,0.000000,1.000000,708758316,1,0,966656,917504
met,a,199,1,0,0,NaN,0,0.505859,0.505859,0.000000,128.000,0.000000,0.000000,708758316,1,0,917504,917504
met,a,243,1,0,0,NaN,0,83.622070,83.622070,1.000000,4.000,0.000000,0.000000,708758316,1,0,1044480,1044480
met,a,246,1,0,0,NaN,0,83.622559,83.622559,1.000000,4.000,0.000000,0.000000,708758316,1,0,1044480,1044480
met,a,385,1,0,0,NaN,0,0.000000,0.000000,0.000000,20.000,0.000000,0.000000,423855882,1,0,1028096,1028096
met,a,386,1,0,0,NaN,0,0.008789,0.008789,0.000000,56.000,0.000000,0.000000,423855882,1,0,991232,991232
met,a,388,1,0,0,NaN,0,0.002441,0.002441,0.000000,52.000,0.000000,0.000000,423855882,1,0,995328,995328
met,a,427,3,0,0,NaN,0,0.132487,0.291992,0.000000,45.333,1.000000,0.000000,423855882,3,0,3006464,3006464
met,a,426,1,0,0,NaN,0,0.031250,0.031250,0.000000,64.000,0.000000,0.000000,423855882,1,0,983040,983040
met,a,425,1,0,0,NaN,0,0.015625,0.015625,0.000000,128.000,0.000000,0.000000,423855882,1,0,917504,917504
met,a,405,2,0,0,NaN,0,0.066650,0.093750,0.000000,128.000,1.000000,0.000000,423855882,2,0,1835008,1835008
met,a,387,1,0,0,NaN,0,0.055176,0.055176,0.000000,128.000,0.000000,0.000000,423855882,1,0,917504,917504
met,a,395,3,0,0,NaN,0,0.153646,0.218262,0.000000,128.000,1.000000,0.333333,423855882,3,0,2818048,2752512
met,a,396,1,0,0,NaN,0,0.086426,0.086426,0.000000,128.000,0.000000,0.000000,423855882,1,0,917504,917504
met,a,411,1,0,0,NaN,0,0.102051,0.102051,0.000000,128.000,0.000000,0.000000,423855882,1,0,917504,917504
met,a,415,1,0,0,NaN,0,0.117676,0.117676,0.000000,128.000,0.000000,1.000000,423855882,1,0,987136,917504
met,a,418,2,0,0,NaN,0,0.097900,0.133301,0.000000,128.000,1.000000,0.000000,423855882,2,0,786432,917504
met,a,416,2,0,0,NaN,0,0.199219,0.233887,0.000000,128.000,1.000000,0.000000,423855882,2,0,1835008,1835008
met,a,428,1,0,0,NaN,0,0.180176,0.180176,0.000000,128.000,0.000000,0.000000,423855882,1,0,917504,917504
met,a,397,1,0,0,NaN,0,0.195801,0.195801,0.000000,128.000,0.000000,0.000000,423855882,1,0,917504,917504
met,a,410,1,0,0,NaN,0,0.227051,0.227051,0.000000,128.000,0.000000,0.000000,423855882,1,0,917504,917504
met,a,407,1,0,0,NaN,0,0.242676,0.242676,0.000000,128.000,0.000000,1.000000,423855882,1,0,987136,917504
met,a,390,2,0,0,NaN,0,0.152344,0.273926,0.000000,110.000,1.000000,0.000000,423855882,2,0,823296,917504
met,a,413,1,0,0,NaN,0,0.289551,0.289551,0.000000,128.000,0.000000,0.000000,423855882,1,0,917504,917504
met,a,424,1,0,0,NaN,0,0.305176,0.305176,0.000000,124.000,0.000000,0.000000,423855882,1,0,921600,921600
met,a,417,1,0,0,NaN,0,0.332031,0.332031,0.000000,32.000,0.000000,0.000000,423855882,1,0,1015808,1015808
met,a,404,1,0,0,NaN,0,0.335938,0.335938,0.000000,128.000,0.000000,0.000000,423855882,1,0,917504,917504
met,a,412,1,0,0,NaN,0,0.351562,0.351562,0.000000,60.000,0.000000,0.000000,423855882,1,0,987136,987136
met,a,394,1,0,0,NaN,0,0.358887,0.358887,0.000000,68.000,0.000000,0.000000,423855882,1,0,978944,978944
met,a,403,1,0,0,NaN,0,0.367188,0.367188,0.000000,128.000,0.000000,1.000000,423855882,1,0,983040,917504
met,a,432,1,0,0,NaN,0,0.386719,0.386719,0.000000,96.000,0.000000,0.000000,423855882,1,0,950272,950272
met,a,423,1,0,0,NaN,0,0.382812,0.382812,0.000000,32.000,0.000000,0.000000,423855882,1,0,1015808,1015808
met,a,392,1,0,0,NaN,0,0.429688,0.429688,0.000000,128.000,0.000000,0.000000,423855882,1,0,917504,917504
met,a,401,2,0,0,NaN,0,0.230469,0.445312,0.000000,128.000,1.000000,0.000000,423855882,2,0,786432,917504
met,a,399,1,0,0,NaN,0,0.460938,0.460938,0.000000,128.000,0.000000,0.000000,423855882,1,0,917504,917504
met,a,391,1,0,0,NaN,0,0.507812,0.507812,0.000000,128.000,0.000000,0.000000,423855882,1,0,917504,917504
met,a,434,1,0,0,NaN,0,50.523926,50.523926,1.000000,4.000,0.000000,0.000000,423855882,1,0,227082,227082
met,a,436,1,0,0,NaN,0,50.524414,50.524414,1.000000,4.000,0.000000,0.000000,423855882,1,0,227082,227082
met,a,578,4,0,0,NaN,0,0.065308,0.131348,0.000000,85.000,1.000000,0.000000,259688793,4,0,2797568,2863104
met,a,579,2,0,0,NaN,0,0.101807,0.201172,0.000000,86.000,1.000000,0.000000,259688793,2,0,1921024,1921024
met,a,616,1,0,0,NaN,0,0.015625,0.015625,0.000000,52.000,0.000000,0.000000,259688793,1,0,995328,995328
met,a,618,2,0,0,NaN,0,0.151367,0.280762,0.000000,106.000,1.000000,0.000000,259688793,2,0,1880064,1880064
met,a,623,1,0,0,NaN,0,0.037598,0.037598,0.000000,128.000,0.000000,0.000000,259688793,1,0,917504,917504
met,a,610,3,0,0,NaN,0,0.130371,0.291016,0.000000,128.000,1.000000,0.333333,259688793,3,0,1757184,1835008
met,a,605,4,0,0,NaN,0,0.056152,0.108887,0.000000,128.000,1.000000,0.000000,259688793,4,0,2621440,2752512
