# lith prefetch trace; block_size=8388608 max_readahead=223 parts_max=67108864 small_file=4194304 coverage_window=16 coverage_min=0.5 evidence_ratio=0
fh,pid,key,off,len,blk,gap,path,state_before,state_after,window,dispatched,peak_window
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,68419584,65536,8,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,75759616,65536,9,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,83099648,65536,9,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,90439680,65536,10,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,97779712,65536,11,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,105119744,65536,12,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,720896,65536,0,-104464384,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,8060928,65536,0,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,15400960,65536,1,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,22740992,65536,2,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,30081024,65536,3,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,37421056,65536,4,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,44761088,65536,5,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,52101120,65536,6,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,59441152,65536,7,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,66781184,65536,7,7274496,window,random,random,0,0,0
