label,arm,fh,rows,dispatched_bytes,used_bytes,byte_follow_through,replay_mismatches,mean_abs_gap_blocks,max_abs_gap_blocks,frac_large_gap,mean_read_kib,frac_monotonic,frac_straddle,obj_size,cold_first_run_reads,cold_reentry_reads,cold_net_waste_bytes,cold_gross_waste_bytes
hemco,b,36768,30,8388608,0,0.000000,0,0.883362,3.915527,0.250000,113.000,1.000000,0.125000,264450589,2,0,1609728,1957888
hemco,b,36760,42,224377172,0,0.000000,1,0.566528,4.532227,0.125000,128.000,1.000000,0.125000,274708820,31,0,270336,4587520
hemco,b,36766,11,0,0,NaN,0,1.202209,9.617676,0.125000,128.000,1.000000,0.125000,256876974,11,0,1781760,2752512
hemco,b,36770,31,69484071,0,0.000000,1,3.221313,22.992676,0.250000,112.500,1.000000,0.125000,295976487,2,0,1220608,1961984
hemco,b,36758,6,0,0,NaN,0,4.238281,25.429688,0.166667,128.000,1.000000,0.166667,217077533,6,0,1310720,1835008
hemco,b,36748,148,0,0,NaN,0,7.215271,57.623047,0.125000,100.000,1.000000,0.125000,808299375,148,0,13180928,22700032
hemco,b,36772,13,0,0,NaN,0,1.301941,9.330078,0.250000,113.000,1.000000,0.125000,217077533,2,0,1388544,1957888
hemco,b,36763,22,0,0,NaN,0,1.706177,13.649414,0.125000,128.000,1.000000,0.125000,180980741,22,0,294912,2752512
hemco,b,36776,12,0,0,NaN,0,1.275146,10.201172,0.125000,128.000,1.000000,0.125000,210622192,12,0,638976,1835008
hemco,b,36784,12,0,0,NaN,0,1.296387,10.371094,0.125000,128.000,1.000000,0.125000,216691306,12,0,1630208,2752512
hemco,b,36790,59,12792349,0,0.000000,1,2.170898,14.979980,0.250000,113.000,1.000000,0.125000,264450589,2,0,2031616,1957888
hemco,b,36780,31,0,0,NaN,0,3.279419,22.994629,0.250000,113.000,1.000000,0.125000,295977088,2,0,1974272,1957888
hemco,b,36778,20,0,0,NaN,0,1.660583,11.541016,0.250000,112.500,1.000000,0.125000,295977088,2,0,1339392,1961984
hemco,b,36774,23,0,0,NaN,0,2.127808,14.975586,0.250000,113.000,1.000000,0.125000,295549766,2,0,1236992,1957888
hemco,b,36788,2,0,0,NaN,0,5.763184,11.446289,0.500000,60.000,1.000000,0.000000,180980741,2,0,1974272,1974272
hemco,b,36782,30,0,0,NaN,0,3.279297,26.234375,0.125000,128.000,1.000000,0.000000,295976487,30,0,1310720,4587520
hemco,b,36794,10,0,0,NaN,0,0.522644,2.493164,0.125000,113.000,0.571429,0.000000,56195851,9,0,4055040,4710400
hemco,b,36810,1,0,0,NaN,0,11.541016,11.541016,1.000000,116.000,0.000000,0.000000,180980741,1,0,929792,929792
hemco,b,36814,12,0,0,NaN,0,2.041016,15.201172,0.250000,113.000,1.000000,0.125000,274708820,2,0,1703936,1957888
