#src	how	bytes	path
hemco	exact	13665406	/input/HEMCO/CEDS/v2021-06/2019/ALD2-em-anthro_CMIP_CEDS_2019.nc
extdata	exact	13407913	/input/HEMCO/DustL23M/v2025-07/LandCover/XLAI_025x025_2019_MonMean.nc4
hemco	exact	13366947	/input/HEMCO/NEI2016/v2021-06/2016fh_16j_othar_0pt1degree_month_07.ncf
hemco	exact	12814388	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.CO.PPA.0.1x0.1.nc
hemco	exact	12579321	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.NH3.PPA.0.1x0.1.nc
hemco	exact	12546735	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.NOx.PPA.0.1x0.1.nc
hemco	exact	12419252	/input/HEMCO/NEI2016/v2021-06/2016fh_16j_rwc_0pt1degree_month_07.ncf
hemco	exact	11751696	/input/HEMCO/CEDS/v2021-06/2019/HCOOH-em-anthro_CMIP_CEDS_2019.nc
extdata	exact	11135200	/input/HEMCO/RRTMG/v2018-11/modis_emissivity.2x25.nc
hemco	exact	9615979	/input/HEMCO/NEI2016/v2021-06/2016fh_16j_rail_0pt1degree_month_07.ncf
extdata	exact	9113755	/input/HEMCO/OFFLINE_SOILNOX/v2021-12/0.5x0.625/2019/07/soilnox_05.20190701.nc
extdata	exact	9111802	/input/HEMCO/OFFLINE_SOILNOX/v2021-12/0.5x0.625/2019/07/soilnox_05.20190702.nc
hemco	exact	9107313	/input/HEMCO/NEI2016/v2021-06/2016fh_16j_onroad_can_0pt1degree_month_07.ncf
extdata	exact	8314773	/input/HEMCO/OCEAN_O3_DRYDEP/v2020-02/WOA_2013_salinity.nc
hemco	exact	8099295	/input/HEMCO/NEI2016/v2021-06/2016fh_16j_airports_0pt1degree_month_07.ncf
extdata	exact	6872312	/input/HEMCO/DustL23M/v2025-07/LandCover/MCD12C1.LC.2019.0.1.nc4
hemco	exact	6540489	/input/HEMCO/NEI2016/v2021-06/2016fh_16j_ag_0pt1degree_month_07.ncf
hemco	exact	6459062	/input/HEMCO/NEI2016/v2021-06/2016fh_16j_afdust_adj_0pt1degree_month_07.ncf
extdata	exact	6231116	/input/HEMCO/MEGAN/v2020-02/MEGAN2.1_EF.geos.025x03125.nc
hemco	exact	5998512	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_NOx_2005-2100_43190.nc
hemco	exact	5997933	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_NOx_2005-2100_43533.nc
hemco	exact	5977518	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_NOx_2005-2100_27424.nc
